Bien jurídico afectado,Clave,"Tipo de delito, subtipo y modalidad",,,,Enero ,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
Total,,,,,,18012,17638,19543,19507,20790,19454,20658,21208,20555,22962,20796,19907,241030
La vida y la Integridad,1,Total de delitos contra la vida y la integridad corporal,,,,1077,1109,1291,1183,1272,1232,1178,1194,1262,1254,1209,1237,14498
,1.1,Homicidio,,,,117,173,180,187,156,182,154,151,143,168,162,209,1982
,1.1.1,,Homicidio doloso,,,74,115,118,133,115,123,120,109,101,110,102,147,1367
,1.1.1.1,,,Con arma de fuego,,62,83,82,89,78,85,86,70,67,77,70,106,955
,1.1.1.2,,,Con arma blanca,,4,16,14,22,17,16,22,10,19,16,15,26,197
,1.1.1.3,,,Con otro elemento,,8,16,22,22,20,22,12,29,15,17,17,15,215
,1.1.1.4,,,No especificado,,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.1.2,,Homicidio culposo,,,43,58,62,54,41,59,34,42,42,58,60,62,615
,1.1.2.1,,,Con arma de fuego,,0,1,0,2,2,1,1,2,2,3,1,2,17
,1.1.2.2,,,Con arma blanca,,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.1.2.3,,,En accidente de tránsito,,40,46,59,48,35,50,29,37,39,51,53,60,547
,1.1.2.4,,,Con otro elemento,,3,11,3,4,4,8,4,3,1,4,6,0,51
,1.1.2.5,,,No especificado,,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.2,Lesiones,,,,865,863,1036,901,1017,957,928,954,1019,976,937,932,11385
,1.2.1,,Lesiones dolosas,,,514,507,655,549,593,577,586,564,647,596,570,549,6907
,1.2.1.1,,,Con arma de fuego,,154,144,165,134,145,144,157,149,201,166,186,177,1922
,1.2.1.2,,,Con arma blanca,,78,78,101,89,82,81,100,101,101,97,100,90,1098
,1.2.1.3,,,Con otro elemento,,282,285,389,326,366,352,329,314,345,333,284,282,3887
,1.2.1.4,,,No especificado,,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.2.2,,Lesiones culposas,,,351,356,381,352,424,380,342,390,372,380,367,383,4478
,1.2.2.1,,,Con arma de fuego,,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.2.2.2,,,Con arma blanca,,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.2.2.3,,,En accidente de tránsito,,272,267,308,267,330,279,263,301,279,303,281,301,3451
,1.2.2.4,,,Con otro elemento,,79,89,73,85,94,101,79,89,93,77,86,82,1027
,1.2.2.5,,,No especificado,,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.3,Feminicidio,,,,5,3,5,3,5,2,6,1,4,3,3,3,43
,1.3.1,,,Con arma de fuego,,1,0,2,0,0,1,2,1,0,2,0,0,9
,1.3.2,,,Con arma blanca,,0,1,0,0,2,0,0,0,0,1,1,0,5
,1.3.3,,,Con otro elemento,,1,0,0,1,1,0,0,0,1,0,0,1,5
,1.3.4,,,No especificado,,3,2,3,2,2,1,4,0,3,0,2,2,24
,1.4,Aborto,,,,8,6,6,12,8,10,9,8,12,7,9,15,110
,1.5,Otros delitos que atentan contra la vida y la integridad corporal,,,,82,64,64,80,86,81,81,80,84,100,98,78,978
La libertad personal,2,Total de delitos contra la libertad personal,,,,137,149,145,149,178,160,173,201,180,190,163,150,1975
,2.1,Secuestro,,,,26,17,17,19,23,33,29,25,24,29,21,17,280
,2.1.1,,Secuestro extorsivo,,,0,2,2,3,2,5,4,5,3,3,3,3,35
,2.1.2,,Secuestro con calidad de rehén,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,2.1.3,,Secuestro para causar daño,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,2.1.4,,Secuestro exprés,,,26,15,15,16,21,28,25,20,21,26,18,14,245
,2.1.5,,Otro tipo de secuestros,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,2.2,Tráfico de menores,,,,0,0,0,1,1,0,0,0,0,0,0,0,2
,2.3,Rapto,,,,0,0,0,0,0,0,1,1,0,0,0,1,3
,2.4,Otros delitos que atentan contra la libertad personal,,,,111,132,128,129,154,127,143,175,156,161,142,132,1690
La libertad y la seguridad sexual,3,Total de delitos contra la libertad y la seguridad sexual,,,,251,282,357,406,337,338,334,394,419,506,426,395,4445
,3.1,Abuso sexual,,,,143,161,205,224,202,183,172,198,252,323,256,242,2561
,3.2,Acoso sexual,,,,26,18,30,32,40,40,46,41,59,39,44,34,449
,3.3,Hostigamiento sexual,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.4,Violación simple,,,,65,96,116,142,84,99,96,134,92,127,105,96,1252
,3.5,Violación equiparada,,,,14,4,5,6,7,14,17,16,11,11,20,20,145
,3.6,Incesto,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.7,Otros delitos que atentan contra la libertad y la seguridad sexual,,,,3,3,1,2,4,2,3,5,5,6,1,3,38
El patrimonio,4,Total de delitos contra el patrimonio,,,,12362,11756,12774,12626,13620,12856,13871,14434,13336,15066,13735,13617,160053
,4.1,Robo total,,,,9625,9129,9851,9782,10467,9833,10665,11097,10214,11657,10729,10465,123514
,4.1.1,,Robo a casa habitación,,,613,546,660,604,589,594,644,701,616,681,675,634,7557
,4.1.1.1,,,,Con violencia,35,35,48,37,33,35,49,51,48,61,69,60,561
,4.1.1.2,,,,Sin violencia,578,511,612,567,556,559,595,650,568,620,606,574,6996
,4.1.2,,Robo de vehículo automotor,,,1053,1017,1218,1002,1230,1087,1174,1203,1073,1308,1328,1352,14045
,4.1.2.1,,,Robo de coche de 4 ruedas,,867,834,1025,822,1043,915,1000,1035,898,1124,1097,1122,11782
,4.1.2.1.1,,,,Con violencia,246,256,336,302,350,339,373,358,289,369,368,360,3946
,4.1.2.1.2,,,,Sin violencia,621,578,689,520,693,576,627,677,609,755,729,762,7836
,4.1.2.2,,,Robo de motocicleta,,186,183,193,180,187,172,174,168,175,184,231,230,2263
,4.1.2.2.1,,,,Con violencia,91,98,112,95,103,93,84,63,67,66,109,96,1077
,4.1.2.2.2,,,,Sin violencia,95,85,81,85,84,79,90,105,108,118,122,134,1186
,4.1.2.3,,,Robo de embarcaciones pequeñas y grandes,,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.2.3.1,,,,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.2.3.2,,,,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.3,,Robo de autopartes,,,817,676,755,805,771,683,822,748,723,753,717,692,8962
,4.1.3.1,,,,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.3.2,,,,Sin violencia,817,676,755,805,771,683,822,748,723,753,717,692,8962
El patrimonio,4.1.4,,Robo a transportista,,,17,19,14,10,12,17,11,17,21,18,22,28,206
,4.1.4.1,,,,Con violencia,16,19,14,6,8,15,9,15,19,13,13,19,166
,4.1.4.2,,,,Sin violencia,1,0,0,4,4,2,2,2,2,5,9,9,40
,4.1.5,,Robo a transeúnte en vía pública,,,1999,1928,2171,2210,2385,2190,2420,2453,2535,2670,2481,2341,27783
,4.1.5.1,,,,Con violencia,1731,1584,1771,1847,1995,1880,2085,2095,2208,2440,2221,1927,23784
,4.1.5.2,,,,Sin violencia,268,344,400,363,390,310,335,358,327,230,260,414,3999
,4.1.6,,Robo a transeúnte en espacio abierto al público,,,42,28,29,39,52,38,50,41,44,68,74,64,569
,4.1.6.1,,,,Con violencia,42,28,29,39,52,38,50,41,44,68,74,64,569
,4.1.6.2,,,,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.7,,Robo en transporte público individual,,,18,23,28,32,11,32,32,28,22,35,29,44,334
,4.1.7.1,,,,Con violencia,10,15,13,18,4,17,24,20,15,18,18,30,202
,4.1.7.2,,,,Sin violencia,8,8,15,14,7,15,8,8,7,17,11,14,132
,4.1.8,,Robo en transporte público colectivo,,,603,589,606,667,746,745,723,754,625,881,803,719,8461
,4.1.8.1,,,,Con violencia,173,155,151,176,197,182,202,219,216,334,305,309,2619
,4.1.8.2,,,,Sin violencia,430,434,455,491,549,563,521,535,409,547,498,410,5842
,4.1.9,,Robo en transporte individual,,,232,230,271,291,315,238,291,333,285,356,361,299,3502
,4.1.9.1,,,,Con violencia,232,230,271,291,315,238,291,333,285,356,361,299,3502
,4.1.9.2,,,,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.10,,Robo a institución bancaria,,,1,0,0,0,2,1,2,2,1,4,0,3,16
,4.1.10.1,,,,Con violencia,1,0,0,0,2,1,0,1,1,2,0,1,9
,4.1.10.2,,,,Sin violencia,0,0,0,0,0,0,2,1,0,2,0,2,7
,4.1.11,,Robo a negocio,,,1690,1548,1606,1613,1712,1534,1659,1858,1552,1865,1562,1963,20162
,4.1.11.1,,,,Con violencia,386,281,266,300,334,309,402,453,403,457,412,550,4553
,4.1.11.2,,,,Sin violencia,1304,1267,1340,1313,1378,1225,1257,1405,1149,1408,1150,1413,15609
,4.1.12,,Robo de ganado,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.12.1,,,,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.12.2,,,,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.13,,Robo de maquinaria,,,1,2,4,5,1,2,2,0,0,2,1,4,24
,4.1.13.1,,,Robo de herramienta industrial o agrícola,,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.13.1.1,,,,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.13.1.2,,,,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.13.2,,,Robo de tractores,,1,2,4,5,1,2,2,0,0,2,1,4,24
,4.1.13.2.1,,,,Con violencia,1,0,4,5,1,2,2,0,0,1,0,3,19
,4.1.13.2.2,,,,Sin violencia,0,2,0,0,0,0,0,0,0,1,1,1,5
,4.1.13.3,,,"Robo de cables, tubos y otros objetos destinados a servicios públicos",,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.13.3.1,,,,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.13.3.2,,,,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.1.14,,Otros robos,,,2539,2523,2489,2504,2641,2672,2835,2959,2717,3016,2676,2322,31893
,4.1.14.1,,,,Con violencia,124,95,107,120,131,121,123,153,135,193,154,223,1679
